algoritmo,metrica,entorno,resolucion_deg,repeticion,segmento,inicio_q,meta_q,exito,tiempo_planificacion_s,longitud_geometrica_rad,longitud_continua_rad,longitud_cartesiana_m,duracion_trayectoria_s,jerk_acumulado,manipulabilidad_min,manipulabilidad_mean,camino_grados
astar,L1,E0,6.0,1,W0->W1,"[180.0, 150.0, 90.0]","[-90.0, 170.0, 110.0]",1,0.01418,2.1991,2.2121,0.2129,8.4,794.57,0.00226,0.00247,"[[180.0, 150.0, 90.0], [180.0, 150.0, 96.0], [180.0, 150.0, 102.0], [180.0, 150.0, 108.0], [180.0, 156.0, 108.0], [180.0, 162.0, 108.0], [180.0, 168.0, 108.0], [186.0, 168.0, 108.0], [192.0, 168.0, 108.0], [198.0, 168.0, 108.0], [204.0, 168.0, 108.0], [210.0, 168.0, 108.0], [216.0, 168.0, 108.0], [222.0, 168.0, 108.0], [228.0, 168.0, 108.0], [234.0, 168.0, 108.0], [240.0, 168.0, 108.0], [246.0, 168.0, 108.0], [252.0, 168.0, 108.0], [258.0, 168.0, 108.0], [264.0, 168.0, 108.0], [270.0, 168.0, 108.0]]"
astar,L1,E0,6.0,1,W1->W2,"[-90.0, 170.0, 110.0]","[0.0, 90.0, 40.0]",1,0.06713,4.0841,4.1233,0.8611,15.6,1934.46,0.0012,0.00216,"[[270.0, 168.0, 108.0], [270.0, 162.0, 108.0], [270.0, 156.0, 108.0], [270.0, 150.0, 108.0], [270.0, 144.0, 108.0], [270.0, 138.0, 108.0], [270.0, 132.0, 108.0], [270.0, 126.0, 108.0], [270.0, 120.0, 108.0], [270.0, 114.0, 108.0], [270.0, 108.0, 108.0], [270.0, 102.0, 108.0], [270.0, 102.0, 102.0], [270.0, 102.0, 96.0], [270.0, 102.0, 90.0], [270.0, 102.0, 84.0], [270.0, 102.0, 78.0], [270.0, 102.0, 72.0], [270.0, 96.0, 72.0], [270.0, 96.0, 66.0], [270.0, 96.0, 60.0], [270.0, 96.0, 54.0], [270.0, 96.0, 48.0], [270.0, 90.0, 48.0], [270.0, 90.0, 42.0], [276.0, 90.0, 42.0], [282.0, 90.0, 42.0], [288.0, 90.0, 42.0], [294.0, 90.0, 42.0], [300.0, 90.0, 42.0], [306.0, 90.0, 42.0], [312.0, 90.0, 42.0], [318.0, 90.0, 42.0], [324.0, 90.0, 42.0], [330.0, 90.0, 42.0], [336.0, 90.0, 42.0], [342.0, 90.0, 42.0], [348.0, 90.0, 42.0], [354.0, 90.0, 42.0], [0.0, 90.0, 42.0]]"
astar,L1,E0,6.0,1,W2->W3,"[0.0, 90.0, 40.0]","[90.0, 120.0, 110.0]",1,0.01289,3.2463,3.345,0.6,12.4,4154.8,0.00123,0.00293,"[[0.0, 90.0, 42.0], [0.0, 90.0, 48.0], [0.0, 96.0, 48.0], [0.0, 96.0, 54.0], [0.0, 96.0, 60.0], [0.0, 96.0, 66.0], [0.0, 96.0, 72.0], [0.0, 102.0, 72.0], [0.0, 102.0, 78.0], [0.0, 102.0, 84.0], [6.0, 102.0, 84.0], [12.0, 102.0, 84.0], [12.0, 102.0, 90.0], [18.0, 102.0, 90.0], [24.0, 102.0, 90.0], [24.0, 102.0, 96.0], [30.0, 102.0, 96.0], [36.0, 102.0, 96.0], [42.0, 102.0, 96.0], [42.0, 102.0, 102.0], [42.0, 108.0, 102.0], [42.0, 114.0, 102.0], [42.0, 114.0, 108.0], [48.0, 114.0, 108.0], [54.0, 114.0, 108.0], [60.0, 114.0, 108.0], [66.0, 114.0, 108.0], [72.0, 114.0, 108.0], [72.0, 120.0, 108.0], [78.0, 120.0, 108.0], [84.0, 120.0, 108.0], [90.0, 120.0, 108.0]]"
astar,L1,E0,6.0,1,W3->W4,"[90.0, 120.0, 110.0]","[180.0, 150.0, 90.0]",1,0.01058,2.4086,2.4346,0.3921,9.2,1281.27,0.00305,0.00377,"[[90.0, 120.0, 108.0], [90.0, 120.0, 102.0], [90.0, 120.0, 96.0], [90.0, 120.0, 90.0], [90.0, 126.0, 90.0], [90.0, 132.0, 90.0], [90.0, 138.0, 90.0], [90.0, 144.0, 90.0], [96.0, 144.0, 90.0], [102.0, 144.0, 90.0], [108.0, 144.0, 90.0], [114.0, 144.0, 90.0], [120.0, 144.0, 90.0], [126.0, 144.0, 90.0], [132.0, 144.0, 90.0], [138.0, 144.0, 90.0], [144.0, 144.0, 90.0], [150.0, 144.0, 90.0], [156.0, 144.0, 90.0], [162.0, 144.0, 90.0], [168.0, 144.0, 90.0], [168.0, 150.0, 90.0], [174.0, 150.0, 90.0], [180.0, 150.0, 90.0]]"
astar,L1,E0,6.0,2,W0->W1,"[180.0, 150.0, 90.0]","[-90.0, 170.0, 110.0]",1,0.01052,2.1991,2.2121,0.2129,8.4,794.57,0.00226,0.00247,"[[180.0, 150.0, 90.0], [180.0, 150.0, 96.0], [180.0, 150.0, 102.0], [180.0, 150.0, 108.0], [180.0, 156.0, 108.0], [180.0, 162.0, 108.0], [180.0, 168.0, 108.0], [186.0, 168.0, 108.0], [192.0, 168.0, 108.0], [198.0, 168.0, 108.0], [204.0, 168.0, 108.0], [210.0, 168.0, 108.0], [216.0, 168.0, 108.0], [222.0, 168.0, 108.0], [228.0, 168.0, 108.0], [234.0, 168.0, 108.0], [240.0, 168.0, 108.0], [246.0, 168.0, 108.0], [252.0, 168.0, 108.0], [258.0, 168.0, 108.0], [264.0, 168.0, 108.0], [270.0, 168.0, 108.0]]"
astar,L1,E0,6.0,2,W1->W2,"[-90.0, 170.0, 110.0]","[0.0, 90.0, 40.0]",1,0.07323,4.0841,4.1233,0.8611,15.6,1934.46,0.0012,0.00216,"[[270.0, 168.0, 108.0], [270.0, 162.0, 108.0], [270.0, 156.0, 108.0], [270.0, 150.0, 108.0], [270.0, 144.0, 108.0], [270.0, 138.0, 108.0], [270.0, 132.0, 108.0], [270.0, 126.0, 108.0], [270.0, 120.0, 108.0], [270.0, 114.0, 108.0], [270.0, 108.0, 108.0], [270.0, 102.0, 108.0], [270.0, 102.0, 102.0], [270.0, 102.0, 96.0], [270.0, 102.0, 90.0], [270.0, 102.0, 84.0], [270.0, 102.0, 78.0], [270.0, 102.0, 72.0], [270.0, 96.0, 72.0], [270.0, 96.0, 66.0], [270.0, 96.0, 60.0], [270.0, 96.0, 54.0], [270.0, 96.0, 48.0], [270.0, 90.0, 48.0], [270.0, 90.0, 42.0], [276.0, 90.0, 42.0], [282.0, 90.0, 42.0], [288.0, 90.0, 42.0], [294.0, 90.0, 42.0], [300.0, 90.0, 42.0], [306.0, 90.0, 42.0], [312.0, 90.0, 42.0], [318.0, 90.0, 42.0], [324.0, 90.0, 42.0], [330.0, 90.0, 42.0], [336.0, 90.0, 42.0], [342.0, 90.0, 42.0], [348.0, 90.0, 42.0], [354.0, 90.0, 42.0], [0.0, 90.0, 42.0]]"
astar,L1,E0,6.0,2,W2->W3,"[0.0, 90.0, 40.0]","[90.0, 120.0, 110.0]",1,0.0118,3.2463,3.345,0.6,12.4,4154.8,0.00123,0.00293,"[[0.0, 90.0, 42.0], [0.0, 90.0, 48.0], [0.0, 96.0, 48.0], [0.0, 96.0, 54.0], [0.0, 96.0, 60.0], [0.0, 96.0, 66.0], [0.0, 96.0, 72.0], [0.0, 102.0, 72.0], [0.0, 102.0, 78.0], [0.0, 102.0, 84.0], [6.0, 102.0, 84.0], [12.0, 102.0, 84.0], [12.0, 102.0, 90.0], [18.0, 102.0, 90.0], [24.0, 102.0, 90.0], [24.0, 102.0, 96.0], [30.0, 102.0, 96.0], [36.0, 102.0, 96.0], [42.0, 102.0, 96.0], [42.0, 102.0, 102.0], [42.0, 108.0, 102.0], [42.0, 114.0, 102.0], [42.0, 114.0, 108.0], [48.0, 114.0, 108.0], [54.0, 114.0, 108.0], [60.0, 114.0, 108.0], [66.0, 114.0, 108.0], [72.0, 114.0, 108.0], [72.0, 120.0, 108.0], [78.0, 120.0, 108.0], [84.0, 120.0, 108.0], [90.0, 120.0, 108.0]]"
astar,L1,E0,6.0,2,W3->W4,"[90.0, 120.0, 110.0]","[180.0, 150.0, 90.0]",1,0.01148,2.4086,2.4346,0.3921,9.2,1281.27,0.00305,0.00377,"[[90.0, 120.0, 108.0], [90.0, 120.0, 102.0], [90.0, 120.0, 96.0], [90.0, 120.0, 90.0], [90.0, 126.0, 90.0], [90.0, 132.0, 90.0], [90.0, 138.0, 90.0], [90.0, 144.0, 90.0], [96.0, 144.0, 90.0], [102.0, 144.0, 90.0], [108.0, 144.0, 90.0], [114.0, 144.0, 90.0], [120.0, 144.0, 90.0], [126.0, 144.0, 90.0], [132.0, 144.0, 90.0], [138.0, 144.0, 90.0], [144.0, 144.0, 90.0], [150.0, 144.0, 90.0], [156.0, 144.0, 90.0], [162.0, 144.0, 90.0], [168.0, 144.0, 90.0], [168.0, 150.0, 90.0], [174.0, 150.0, 90.0], [180.0, 150.0, 90.0]]"
astar,L1,E0,6.0,3,W0->W1,"[180.0, 150.0, 90.0]","[-90.0, 170.0, 110.0]",1,0.01018,2.1991,2.2121,0.2129,8.4,794.57,0.00226,0.00247,"[[180.0, 150.0, 90.0], [180.0, 150.0, 96.0], [180.0, 150.0, 102.0], [180.0, 150.0, 108.0], [180.0, 156.0, 108.0], [180.0, 162.0, 108.0], [180.0, 168.0, 108.0], [186.0, 168.0, 108.0], [192.0, 168.0, 108.0], [198.0, 168.0, 108.0], [204.0, 168.0, 108.0], [210.0, 168.0, 108.0], [216.0, 168.0, 108.0], [222.0, 168.0, 108.0], [228.0, 168.0, 108.0], [234.0, 168.0, 108.0], [240.0, 168.0, 108.0], [246.0, 168.0, 108.0], [252.0, 168.0, 108.0], [258.0, 168.0, 108.0], [264.0, 168.0, 108.0], [270.0, 168.0, 108.0]]"
astar,L1,E0,6.0,3,W1->W2,"[-90.0, 170.0, 110.0]","[0.0, 90.0, 40.0]",1,0.06569,4.0841,4.1233,0.8611,15.6,1934.46,0.0012,0.00216,"[[270.0, 168.0, 108.0], [270.0, 162.0, 108.0], [270.0, 156.0, 108.0], [270.0, 150.0, 108.0], [270.0, 144.0, 108.0], [270.0, 138.0, 108.0], [270.0, 132.0, 108.0], [270.0, 126.0, 108.0], [270.0, 120.0, 108.0], [270.0, 114.0, 108.0], [270.0, 108.0, 108.0], [270.0, 102.0, 108.0], [270.0, 102.0, 102.0], [270.0, 102.0, 96.0], [270.0, 102.0, 90.0], [270.0, 102.0, 84.0], [270.0, 102.0, 78.0], [270.0, 102.0, 72.0], [270.0, 96.0, 72.0], [270.0, 96.0, 66.0], [270.0, 96.0, 60.0], [270.0, 96.0, 54.0], [270.0, 96.0, 48.0], [270.0, 90.0, 48.0], [270.0, 90.0, 42.0], [276.0, 90.0, 42.0], [282.0, 90.0, 42.0], [288.0, 90.0, 42.0], [294.0, 90.0, 42.0], [300.0, 90.0, 42.0], [306.0, 90.0, 42.0], [312.0, 90.0, 42.0], [318.0, 90.0, 42.0], [324.0, 90.0, 42.0], [330.0, 90.0, 42.0], [336.0, 90.0, 42.0], [342.0, 90.0, 42.0], [348.0, 90.0, 42.0], [354.0, 90.0, 42.0], [0.0, 90.0, 42.0]]"
